author_name,commits
Olivier Liechti,17
Harry Hogg,64
marcofaggian,1
renovate[bot],615
Andre Wanlin,210
Patrik Oldsberg,3761
Patrick Jungermann,56
github-actions[bot],121
Boris Bera,6
Harrison Hogg,5
Fredrik Adelöw,1142
blam,1760
Mengnan Gong,4
Axel Hecht,14
Morgan,3
Camila Belo,224
MT Lewis,108
Alex Crome,31
bnechyporenko,89
Frida Jacobsson,1
andrmaz,7
Ben Lambert,108
Nishkarsh Raj,4
Willy Guggenheim,1
Kiss Miklos,124
Paul Cowan,38
Paul,4
Jamie Klassen,7
Daniel Albuquerque,1
Jan Vilimek,24
Arthur Gavlyukovskiy,7
Peter Macdonald,8
Bret Hubbard,16
martincostello,1
Niklas Aronsson,21
Tomás Mota,2
David Zemon,21
Mehmet Mallı,8
Emma Indal,399
hram_wh,7
Carlos Esteban Lopez Jaramillo,17
Carlos Esteban Lopez,17
Jason Nguyen,10
Bruno E. Grossi,2
Francesco Saltori,22
Miklós Kiss,1
Ankit Luthra,3
Vincenzo Scamporlino,86
Bogdan Nechyporenko,2
Amresh Hanoeman,1
Bradley Grainger,1
Matthew Clarke,35
Crevil,41
andreizimin,2
Pascal Wallenius,1
Leonardo Cardoso de Almeida,5
Mitchell Hentges,3
Phil Kuang,92
Eric Peterson,428
ivgo,29
Pedro Nastasi,3
Matteo Silvestri,25
Alex Rybchenko,61
Leonardo Maier,10
NishkarshRaj,3
Jussi Hallila,101
Alessandro Dalfovo,2
Clemens Stefan Heithecker,5
Ahmed,1
Clemens S. Heithecker,7
ahmed,14
Willy Go,3
Taras,34
Brian Fletcher,147
Taras Mankovski,93
Alisson Fabiano,25
Joon Park,62
Prasetya Aria Wibawa,41
OscarDHdz,12
Tomáš Tunkl,11
TANGUY Antoine (SIB),5
Suzanne Daniels,38
Gabriel Testault,3
Christian Marker / Intility AS,16
Leena,3
Marcus Eide,214
Tim Jacomb,57
Niels Henrik Hagen,1
Dominik Schwank,15
Magnus Persson,3
Callen Barton,6
Tomasz Szuba,19
Jake Crews,31
Samba siva Tiyyagura,1
jspc,1
Marcus Crane,20
Michael Stergianis,4
sblausten,29
José Rosado,1
Vladimir Masarik,15
John Kilmister,2
Martin Ehrnst,3
mufaddal motiwala,87
Joe Patterson,9
Simone Corsi,3
Luka Siric,17
Tyler Davis,7
Nick Marinelli,11
Tomas Aschan,8
maaheeb,1
Pascal Haakmat,7
Antonio Musolino,8
Robert Schuh,5
drankou,1
Everson Crusara,1
Johan Haals,878
Gudmundur Orn Johannsson,2
Jen Evans,3
aarontsharp,3
Charles Lowell,11
Tim Buchwaldt,1
Levy Fialho,3
Eric Bottard,1
gtestault,1
Niek te Grootenhuis,8
Seow Wen Han,2
Stéphane MORI,10
James Turley,34
kielosz,15
Daniel Dias Branco Arthaud,11
John Philip,3
Joao Paulo Moreira Antunes,3
Leon van Ginneken,9
Isaiah Thiessen,31
Kamil Wolny,33
Feanil Patel,1
Tim Harris,6
Robert Cen,4
Mattias Frinnström,35
Bruce Arctor,1
Vincent Lam,1
Adam Harvey,413
Paulo Peixoto,4
Salomon Moreno,2
Jeff Feng,24
Leonardo Borges Avelino,1
Otto Nordander,5
Gary Niemen,9
Andres Mauricio Gomez P,4
Tihomir Yordanov,2
Brad Reed,1
Brad Reed 😎,3
Neemys,30
Mathias Geat,3
Iswariya Manivannan,1
Himanshu Mishra,478
Renlord Yang,6
brentg-telus,8
Diego Bardari,3
Charge71,2
Miguel Alexandre,9
Jonathan Stacks,2
Damola Obaleke,2
Tim Hansen,212
Ömer Faruk Doğan,2
Leo Li,2
Parth Shukla,1
Peiman Jafari,12
Andrea Giannantonio,2
Lucas Teligioridis,2
David Weber,9
Raffi Tamizian,2
Manuel Stein,8
Matt Mulligan,12
Niall McCullagh,10
Natalya Peixoto,1
Eric Voshall,9
Namco,1
Andrew Duckett,1
Trevor Hartman,4
Oliver Sand,434
Ryan Brink,20
Gio,2
Niya Ma,4
Thomas Cardonne,4
dependabot[bot],858
gabrielucido,2
Lilly Holden,10
Patrice Chalin,3
Michael Short,3
Erick Sposito,3
Marco Crivellaro,33
kjuulh,4
Stephan Schielke,2
Otto Sichert,25
Jonah Back,84
Dede Hamzah,35
elonj,10
goenning,48
Omar Babativa,2
Manuel Cañete,10
Hasan Oezdemir,17
Michael Lima,1
Marc Rooding,6
Manuel Cañete,1
Camila Maia,1
Dang Huynh,2
Julius Berger,3
Jonathan Ash,16
Carlo Giuseppe Sergi,2
Cory Fisher,1
Sam Blausten,1
Joost Hofman,7
patrickalvesvv,1
7Hazard,1
Herman Jensen,1
Jens Møller,1
Andrew Thauer,95
Linda Navarette,1
Stein Welberg,2
planeiii,6
David Rubio Vidal,2
codermango,2
Ke Ma,1
Francesco Corti,31
Nikolas Skoufis,12
Henrique,1
Patrick Schilling,1
Côme Tresarrieu,5
denis.fortin,4
Joan Aymà,4
Ankit Gupta,1
Fabio Torchetti,6
asaini1,2
df11,1
Raghunandan,122
sjeyaraman,9
James Peach,2
Erik Price,1
Aisha Saini,6
Michael Haley,14
Daniele.Mazzotta,14
Jorge Lainfiesta,5
Julio Zynger,63
nguyentranbao-ct,1
Clare Liguori,1
Daniele Mazzotta,2
"Carteni, Gabriele",1
tomasrb,3
apacciaroni,1
Gonçalo Marques,1
Alec Jacobs,39
Quentin Rousseau,3
Yaser Toutah,1
Maixmilian Ressel,4
Renovate Bot,364
Maximilian Ressel,1
James Russo,6
Talita Gregory,2
djamaile,53
Binita Nayak,1
jean-philippe.blary,2
Pit Wegner,1
Anders Näsman,73
Tate,1
Christopher Klewin,2
Kyle Smith,4
Jan Socha,1
fr0stf0x,1
Julien Tanay,1
Zee V. (Philip),6
Sebastian Spier,1
Danang,3
Juan Pablo Garcia Ripa,25
dinesh-lendingkart,2
Guillermo Manzo,3
Ingmar van Dijk,3
Jakub Cierlik,3
Rogerio Angeliski,32
fabuloso,4
Leonardo Dagnino,1
Chris Simmons,5
svc.appcenter,1
Leon,12
Jack Palmer,6
Renjie Xu,1
Stefan Buck,2
Talita Gregory Nunes Freire,21
Manuel Scurti,7
Christian Probst,1
Matt Ng,3
Jonathan Sundquist,3
Martina Iglesias Fernandez,38
Samira Mokaram,113
Sebastian Olsson,1
Ruslan.Nasyrov,4
Minh Trí,1
David Giacomo,1
Joe Porpeglia,94
blakeromano-il,6
qu,1
Sergey Shevchenko,2
Milos Protic,1
Drew Hill,1
rthera7,1
Christopher Fry,1
Chris Trombley,9
Michael Wizner,2
Lauren Schaller,4
Andrew Beveridge ☄️,1
kim5566,23
Mark David Avery,9
Daniel Bravo,5
mo,27
Guilherme Oenning,14
Claudia Bressi,8
Jan Brink,2
Arik Smith,1
Bridget Barnes,16
Chris Nitsas,1
Sami Farhat,1
Hamza El Aoutar,6
Alex Taker,1
James Bourne,2
Andy Ladjadj,1
Guilherme Eric,3
Rakesh Thera,4
Viktor Bahr,5
shahar.shmaram,4
Damien Vitrac,3
Kamal Cheriyath,1
Cam Casher,3
Lovie,1
Jahred,1
Aron Gates,2
Shivam bisht,13
Iván Álvarez Frías,1
Andy Caruso,16
sharadpattanshetti,1
ivanhoe,1
skgandikota,5
Luna Stadler,7
Jose Badeau,1
Eric Fitzpatrick,3
daftgopher,3
LvffY,15
Mike Lewis,150
Ismail El Badawy,2
Marley Powell,85
Carlo Colombo,8
Ray Abueg,1
Majid Ramezanpour,1
yousifalraheem,6
Pedro Parra Ortega,5
eskerda,1
Liam Mackie,5
Shadab Ansari,1
Morgan Wigmanich,1
sandra-greenhalgh,7
Shailendra Ahir,10
Frank Cycan,2
Joel Cox,1
mehmet.malli,1
Esteban Torres,3
Sven Sander,2
Simon Gellis,4
jv,1
Simone Fumagalli,1
Gediminas,1
Andrew Thal,5
Yousif Al-Raheem,21
Naijith Gopal,2
Phil Gore,12
Nicolas Arnold,26
Karthik,1
João Fernandes,1
irma12,37
Tuan Anh Tran,1
AaronvDiepen,3
Iain Billett,50
Vagner Guedes,1
DJDANNY123,1
Dimitris Apostolou,1
Tim McFadden,2
hwischnia,1
Karan Shah,138
KaemonIsland,5
mclarke,10
Charlie Rudenstål,1
tim775,1
Alisa Wong,2
Andrew Shirley,50
Simon Stamm,4
Rob Cresswell,1
Bruno Viana,1
slougheed,2
Hasan Ozdemir,15
su-gupta,2
Nik Skoufis,1
Andy Tan,2
Jeremy Guarini,19
shyamajp,1
Erik Larsson,93
Mike Ball,34
Francisco Ribas,4
roylisto,4
Zach Hammer,8
zoefkip,1
Saksham Sharma,3
Edgar Silva,4
Lorenzo Orsatti,11
Paweł Wamej,2
Eugene Malihins,1
Steven Lougheed,1
Danilo Cardoso,1
gauthier-roebroeck-mox,1
Andrew Basson,2
Pawel Wamej,2
David Dyball,8
Kim Todd,1
Mark Veronda,1
Gustaf Räntilä,30
Sunil Kumar Mohanty,1
Ryan Hanchett,3
Daniel Deloff,15
Richard Luong,1
Jahred Hope,1
snehaljos,4
Lyupcho Kotev,1
Kévin Gomez,21
iammnils,1
Gabriel Dantas,2
Santiago Bernal,1
Damon Kaswell,1
Lee Mills,13
Eoghan McIlwaine,9
Adam Tester,2
Elizabeth Stranack,6
Philipp Hugenroth,145
Paladetch Usavasereelert,3
Mikko Korhonen,12
Marcos Borges,1
Radoslaw Wielonski,12
Mustansar Anwar ul Samad,13
Colin Rymer,1
Jay Gabriels,9
Daniel Tibbing,2
Colton Padden,93
Alef,9
Tracey,3
Erik Aaron Hansen,1
Daniel Clayton,1
Oliver Paraskos,1
Ben Langfeld,2
elstranack,2
Kamil Zainal,9
Chloe Lee,1
Djamaile Rahamat,6
Adrian Barwicki,2
Mark Stickley,1
Kurt King,1
Sathish Kumar,3
Miklos Kiss,10
Artur Gevorgyan,1
Erik Engervall,180
Lykke Axlin,51
Lalit Kumar Singla,1
Diego Drumond,2
DRoystonSmith,1
praveen-livspace,1
lakshikaparihar,2
Nigel Wright,5
hiba-aldalaty,55
Bert Huang,1
Dhruval Darji,1
Lakshika Parihar,1
Daan Boerlage,1
Julio Arias,1
SrikarAnanthula,3
Leon Stein,10
Cooper Benson,1
tom.wolf,2
Zack Griesinger,6
Zackery Griesinger,1
Fabian Hippmann,7
moltenice,2
fabioviana-hotmart,1
Morgan Martinet,25
Greg Taylor,2
Denis Aoki,1
Tom Wolf,1
Fidel Coria,28
lukzerom,26
WarlenRodrigues,2
Bruno Fuzetti Penso,8
Ainhoa Larumbe,16
Reinoud Kruithof,3
Jacob Wejendorp,7
Arve Systad,1
Júlio Zynger,6
austinal,2
Andrew Tran,24
Balasundaram,12
Praveen Ranjan Keshri,3
Peter Grauvogel,3
radoslaw-wielonski-nc,1
Minn Soe,22
Mert Can Bilgiç,12
Nick Laqua,1
Nataliya Issayeva,31
Milton Jacomini Neto,1
Niklas Granander,54
Lucile Desfour,3
Sonali Mishra,2
dnsaoki2,1
Lakshmi Narayana,3
Nikki Nikkhoui,2
Mike Cripps,2
Paweł Mitka,1
jluk-box,1
Deepak Bhardwaj,25
Nir Gazit,65
Kiran,4
Catalin Codreanu,1
jrusso1020,16
Gauthier Roebroeck,4
Gauthier,6
MrSecure,1
jodybro,1
mufaddalWh,5
Chad Jensen,5
Pete Jespers,2
Carlos Eugenio Rodrigues Gusmão,1
Kai Szybiak,2
therynamo,4
Brian Jung,1
Luís Baroni,1
Dominik Henneke,192
Soren Mathiasen,1
Theryn Groetken,1
Terrence Benade,1
Zach Falen,3
Anthony Ikeda,5
Greg Bomkamp,2
Kim Jin,1
Rod Machen,2
tudi2d,19
Gabriele Mambrini,5
Jonas Thomsen,1
Elliot Greenwood,19
rgorkovenko,1
Bryce Larson,2
Pavel,1
Matto,17
Hammar Johan,2
Jarek Łukow,3
rodion,7
hrithiksawhney,1
Kenneth Feng,7
alexcurtin,1
Xavier Serrano,1
Thomas Viaud,8
Ray Sinnema,2
Tony Tam,1
Victor Perera,25
Rémon (Ray) Sinnema,1
Andrew Ellis,2
mclarke47,5
Ivan Stoiev,1
Klara,5
mauro sala,1
Aldira Putra Raharja,7
N-Shar-ma,4
Nehal Sharma,1
Bodil Björklund,6
Gabriel Noal,2
Lasse Gaardsholt,1
Connor Younglund,2
Hans Knecht,1
Michal Partyka,1
Alex Krantz,3
Fanny Gaudin,3
anisorigin,1
Daniel Ortiz Lira,18
colton,2
Dmitry Makarenko,1
PhakornKiong,2
gracheva,5
shenowen,3
Johan Hammar,4
Gustaf Lundh,1
Jeff Stein,1
Frédéric Bonnet,1
Guilherme Vierno,2
Mohamed Mohamed,3
Luke,2
Darkripper214,1
savez,1
Filip Swiatczak,14
Ljupcho Kotev,2
lmejbar,7
bodilb,4
Branch Vincent,1
CircleHD Dev,1
Ben Chidgey,1
John Hodges,1
Magnus Eriksson,2
Bart Breen,8
Will Sewell,9
Chris Carpita,1
Mikael Schirén,1
Thiago Caiubi,1
@pawelmitka,21
Anis Jonischkeit,1
Aj-vrod,6
Douglas Read,4
minkimcello,7
Sean Tan,73
Víctor,1
Calaway,1
Víctor Suárez Fernández,1
Roy Jacobs,18
Sam Robson,5
Shivam Bisht,1
Ryan Vazquez,131
victormorfin97,16
Mathias Åhsberg,33
Ruben Lindström,3
Christopher Zorn,4
Brent Schneider,1
Enrico Stahn,2
Pepijn Schildkamp,4
Aurelio Saraiva,9
Yuvaraja Balamurugan,5
Filip Pýrek,1
Sami Ur Rehman,1
Steve Huff,2
Gregory Yogan,4
Raghunandan Balachandran,38
Camila Loiola,1
Tarcisio Ambrosio Wensing,6
Bartosz Nadworny,1
GregoireW,13
gregoireW,1
Tom Opdebeeck,13
AJT,1
Benjamin,1
aaronnickovich,1
Aaron Nickovich,1
Joel Low,35
Kiera Jost,9
ImgBotApp,25
Christine Yi,6
Jos Craw,9
Shyam Saraswati,2
Kenny Lindahl,1
Vannarath Poeu,7
Adrian Ke,2
Pankaj Patil,1
Guille Vigil,2
Nicolas Torres,17
Rémi Doreau,24
Miguel Pessoa,1
Nikola Babic,1
Juan Lulkin,62
Andrea Falzetti,9
Yogesh Lonkar,1
Chase Rutherford-Jenkins,9
Alexander Klein,2
Frédéric Gascon,2
livetocode,1
chicoribas,17
Alex Landovskis,3
David Tuite,49
Brett Wright,27
shoukoo,5
Eugene Sh,3
Christopher Diaz,1
roylisto.pradana,9
matteobarone,1
michael.rode,3
Gowind,10
James Renaud,2
Irma12,4
Matteo Barone,7
Jingchao Zhang,1
Flavien Chantelot,1
zjpersc,1
Tejas Kumar,25
Diego Marangoni,1
Jesse Bye,12
Srikar Ananthula,1
Eugene S,1
Brent Sharrow,1
Louis Bichard,2
Daniel Johansson,5
Dorn-,1
Bryan Lam,1
Kevin,4
Vitor Capretz,5
Daniel Ortega,4
Brad Risse,1
Anastasia Rodionova,3
Max Falk,4
HelenGreul,1
yafanasiev,3
Spencer Kaiser,1
Heather Lee,17
Alin Stefan Olaru,1
Nikhil Unni,3
anovis,4
Austen,1
markshawtoronto,1
Jacob Bolda,3
RISHABH BUDHIRAJA,4
Rob Long,2
AlleyWei,35
Tim,7
Alexander Kaserbacher,7
Jacob Rosales,2
Brian Leathem,24
JasonMiller-BAH,1
sam-robson,1
"Chongyang Adrian, Ke",17
yacut,14
Jonah Grimes,34
Bastian Gutschke,1
anderoo,1
Andrew Johnson,51
Emre,1
Shashank Bairy R,12
Julian Pearce,2
Roman Frey,3
Tavis Aitken,1
Simon Knittel,3
Will,3
azhurbilo,3
Brian Fox,7
Brenda Sukh,68
Adrian Ke Chongyang,9
alde,22
Rickard Dybeck,3
Wédney Yuri Lima,1
Rian Bogle,1
Andrey O,1
Javid Aslanov,6
Ilya Lyamkin,2
Travis Truman,3
Seth Howard,2
Efrain Gutierrez,2
Frank Showalter,2
Omer Farooq,23
Pranava Shashank Pindi,1
Remi Kristelijn,8
MiguelRamBalt,4
lancelot,1
Victor Morfin,4
miguelrambalt,3
Jeff Cook,4
Konstantin Dichev,2
Jacob Valdemar Andreasen,8
Eric Swanson,8
Podge,3
Mateus Marquezini,21
JP Dhabolt,8
Teun Willems,2
shoeb,7
cirpo,1
Axel Koehler,1
Vinay P,4
Stefan Ålund,254
Robin Murphy,4
Maikel,1
Gerard Wilkinson,4
Rajiv Ranjan Singh,13
Alexander Zerbe,4
Esteban Barrios,6
Andreas Stenius,33
ebarrios,75
MarceloLeite2604,2
