month,author_name,commits
2022-10,Olivier Liechti,2
2022-10,Harry Hogg,24
2022-10,marcofaggian,1
2022-10,renovate[bot],22
2022-10,Andre Wanlin,1
2022-10,Patrik Oldsberg,5
2022-10,Patrick Jungermann,5
2022-10,github-actions[bot],2
2022-10,Boris Bera,6
2022-10,Harrison Hogg,5
2022-10,Fredrik Adelöw,5
2022-10,blam,14
2022-10,Mengnan Gong,1
2022-10,Axel Hecht,2
2022-10,Morgan,3
2022-10,Camila Belo,15
2022-10,MT Lewis,1
2022-10,Alex Crome,1
2022-10,bnechyporenko,4
2022-10,andrmaz,5
2022-10,Ben Lambert,3
2022-10,Nishkarsh Raj,1
2022-10,Willy Guggenheim,1
2022-10,Kiss Miklos,16
2022-10,Paul Cowan,10
2022-10,Paul,3
2022-10,Jamie Klassen,1
2022-10,Daniel Albuquerque,1
2022-10,Jan Vilimek,3
2022-10,Arthur Gavlyukovskiy,7
2022-10,Peter Macdonald,4
2022-10,Bret Hubbard,1
2022-10,martincostello,1
2022-10,Niklas Aronsson,1
2022-10,Tomás Mota,1
2022-10,David Zemon,1
2022-10,Mehmet Mallı,1
2022-10,hram_wh,1
2022-10,Carlos Esteban Lopez Jaramillo,5
2022-10,Carlos Esteban Lopez,1
2022-10,Jason Nguyen,4
2022-10,Bruno E. Grossi,2
2022-10,Francesco Saltori,1
2022-10,Miklós Kiss,1
2022-10,Ankit Luthra,1
2022-10,Vincenzo Scamporlino,1
2022-10,Bogdan Nechyporenko,1
2022-10,Amresh Hanoeman,1
2022-10,Bradley Grainger,1
2022-10,Matthew Clarke,1
2022-10,Crevil,2
2022-09,blam,33
2022-09,Frida Jacobsson,1
2022-09,Patrick Jungermann,4
2022-09,Niklas Aronsson,2
2022-09,Harry Hogg,5
2022-09,Camila Belo,8
2022-09,Emma Indal,8
2022-09,bnechyporenko,23
2022-09,andreizimin,1
2022-09,Francesco Saltori,4
2022-09,Patrik Oldsberg,126
2022-09,Pascal Wallenius,1
2022-09,Leonardo Cardoso de Almeida,5
2022-09,Mitchell Hentges,3
2022-09,Ankit Luthra,2
2022-09,renovate[bot],84
2022-09,Kiss Miklos,34
2022-09,Fredrik Adelöw,29
2022-09,Phil Kuang,6
2022-09,Eric Peterson,3
2022-09,Bogdan Nechyporenko,1
2022-09,ivgo,3
2022-09,Carlos Esteban Lopez,12
2022-09,Pedro Nastasi,3
2022-09,Matteo Silvestri,10
2022-09,Alex Rybchenko,1
2022-09,Nishkarsh Raj,3
2022-09,Leonardo Maier,10
2022-09,NishkarshRaj,2
2022-09,Jussi Hallila,7
2022-09,Crevil,2
2022-09,hram_wh,6
2022-09,Carlos Esteban Lopez Jaramillo,4
2022-09,Alessandro Dalfovo,1
2022-09,github-actions[bot],5
2022-09,Clemens Stefan Heithecker,5
2022-09,Ahmed,1
2022-09,Clemens S. Heithecker,7
2022-09,Matthew Clarke,9
2022-09,ahmed,3
2022-09,Jan Vilimek,3
2022-09,Willy Go,3
2022-09,Axel Hecht,2
2022-09,Taras,15
2022-09,Brian Fletcher,9
2022-09,Taras Mankovski,4
2022-09,MT Lewis,1
2022-09,Alisson Fabiano,6
2022-09,Joon Park,6
2022-09,Prasetya Aria Wibawa,2
2022-09,Paul Cowan,8
2022-09,Paul,1
2022-09,OscarDHdz,6
2022-09,Tomáš Tunkl,8
2022-09,TANGUY Antoine (SIB),2
2022-09,Suzanne Daniels,1
2022-09,Gabriel Testault,1
2022-09,Christian Marker / Intility AS,16
2022-09,Leena,3
2022-09,Marcus Eide,4
2022-09,Tim Jacomb,7
2022-09,Ben Lambert,2
2022-09,Niels Henrik Hagen,1
2022-09,David Zemon,4
2022-09,Mengnan Gong,1
2022-09,Dominik Schwank,6
2022-09,Magnus Persson,2
2022-09,Callen Barton,1
2022-09,Tomasz Szuba,1
2022-09,Jake Crews,3
2022-09,Samba siva Tiyyagura,1
2022-09,jspc,1
2022-09,andrmaz,2
2022-09,Marcus Crane,2
2022-09,Andre Wanlin,1
2022-09,Michael Stergianis,1
2022-09,sblausten,2
2022-09,José Rosado,1
2022-09,Vladimir Masarik,8
2022-09,John Kilmister,2
2022-09,Tomás Mota,1
2022-09,Martin Ehrnst,2
2022-09,mufaddal motiwala,3
2022-09,Joe Patterson,9
2022-09,Alex Crome,11
2022-09,Simone Corsi,2
2022-09,Luka Siric,10
2022-09,Tyler Davis,1
2022-09,Nick Marinelli,3
2022-09,Tomas Aschan,8
2022-09,maaheeb,1
2022-09,Pascal Haakmat,7
2022-09,Robert Schuh,5
2022-09,drankou,1
2022-09,Everson Crusara,1
2022-08,blam,86
2022-08,Niklas Aronsson,1
2022-08,Crevil,4
2022-08,OscarDHdz,1
2022-08,Paul Cowan,18
2022-08,Dominik Schwank,1
2022-08,Antonio Musolino,2
2022-08,Patrik Oldsberg,128
2022-08,Camila Belo,9
2022-08,renovate[bot],205
2022-08,Carlos Esteban Lopez,4
2022-08,Luka Siric,7
2022-08,Johan Haals,36
2022-08,Ben Lambert,7
2022-08,Axel Hecht,3
2022-08,Brian Fletcher,18
2022-08,Fredrik Adelöw,59
2022-08,Gudmundur Orn Johannsson,2
2022-08,Carlos Esteban Lopez Jaramillo,8
2022-08,Jen Evans,1
2022-08,aarontsharp,3
2022-08,Eric Peterson,2
2022-08,github-actions[bot],6
2022-08,Matteo Silvestri,4
2022-08,Charles Lowell,1
2022-08,Jake Crews,10
2022-08,Tim Buchwaldt,1
2022-08,Kiss Miklos,4
2022-08,Alisson Fabiano,19
2022-08,Marcus Crane,14
2022-08,Nick Marinelli,3
2022-08,Levy Fialho,3
2022-08,Peter Macdonald,4
2022-08,Phil Kuang,2
2022-08,Eric Bottard,1
2022-08,Tomáš Tunkl,3
2022-08,gtestault,1
2022-08,Gabriel Testault,2
2022-08,Niek te Grootenhuis,7
2022-08,Jussi Hallila,4
2022-08,Seow Wen Han,2
2022-08,Tyler Davis,6
2022-08,Jason Nguyen,1
2022-08,Stéphane MORI,3
2022-08,James Turley,1
2022-08,kielosz,12
2022-08,Emma Indal,6
2022-08,Daniel Dias Branco Arthaud,11
2022-08,John Philip,3
2022-08,Joao Paulo Moreira Antunes,1
2022-08,Tim Jacomb,2
2022-08,Andre Wanlin,10
2022-08,Tomasz Szuba,2
2022-08,Leon van Ginneken,8
2022-08,Isaiah Thiessen,7
2022-08,TANGUY Antoine (SIB),1
2022-08,Kamil Wolny,21
2022-08,Feanil Patel,1
2022-08,Tim Harris,6
2022-08,Robert Cen,3
2022-08,Alex Crome,4
2022-08,Mattias Frinnström,1
2022-08,Bruce Arctor,1
2022-08,Vincent Lam,1
2022-08,Adam Harvey,1
2022-08,Paulo Peixoto,4
2022-08,Salomon Moreno,1
2022-08,Jeff Feng,1
2022-08,Leonardo Borges Avelino,1
2022-08,Francesco Saltori,8
2022-08,Martin Ehrnst,1
2022-08,Alessandro Dalfovo,1
2022-08,Otto Nordander,1
2022-08,Gary Niemen,1
2022-08,Vincenzo Scamporlino,2
2022-08,Andres Mauricio Gomez P,1
2022-08,Tihomir Yordanov,2
2022-08,Brad Reed,1
2022-08,bnechyporenko,8
2022-08,Brad Reed 😎,3
2022-08,Neemys,7
2022-08,Mathias Geat,3
2022-08,Joon Park,1
2022-07,Phil Kuang,1
2022-07,Patrik Oldsberg,50
2022-07,blam,50
2022-07,Andre Wanlin,9
2022-07,Andres Mauricio Gomez P,3
2022-07,Otto Nordander,2
2022-07,renovate[bot],207
2022-07,Jamie Klassen,6
2022-07,Kamil Wolny,11
2022-07,Neemys,18
2022-07,Iswariya Manivannan,1
2022-07,Himanshu Mishra,5
2022-07,Renlord Yang,5
2022-07,Matteo Silvestri,8
2022-07,brentg-telus,8
2022-07,Vincenzo Scamporlino,4
2022-07,Brian Fletcher,14
2022-07,Diego Bardari,2
2022-07,Charge71,2
2022-07,Ben Lambert,9
2022-07,Miguel Alexandre,3
2022-07,Crevil,11
2022-07,Jonathan Stacks,2
2022-07,Damola Obaleke,2
2022-07,Tim Hansen,1
2022-07,Ömer Faruk Doğan,1
2022-07,Leo Li,2
2022-07,Parth Shukla,1
2022-07,Peiman Jafari,1
2022-07,Andrea Giannantonio,1
2022-07,Lucas Teligioridis,2
2022-07,Jake Crews,17
2022-07,github-actions[bot],4
